title,bibtex,year,wearability,presentation_mode,deployment_context,form_factor,target_body_area,stimulation_scope,stimulus_type,actuator_type,audio-tactile_mapping,purpose,audio_device,accessibility_focus,connectivity,application_domain
Audio-Tactile Rendering- A Review on Technology and Methods to Convey Musical Information through the Sense of Touch,remache2021audio,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,review_paper
Musical haptics,papetti2018musical,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,review_paper
Can Haptic Stimulation Enhance Music Perception in Hearing-Impaired Listeners?,fletcher2021can,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DHH,NA,review_paper
Auditory-Tactile Narratives: Designing New Embodied Auditory-Tactile Mappings Using Body Maps,cavdir2024auditory,2024,both,recorded,NA,chair and fingers device,whole_body,multiple,vibration,combination (voice_coil and ERMs),ad-hoc_composition,music_enrichment,headphones,no,wireless,perceptual_study
Configuring a Haptic Interface for Music Performance,armitage2015configuring,2015,no,live,performance,chair,back,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wired,perceptual_study
Cutaneous grooves: composing for the sense of touch,gunther2003cutaneous,2010,yes,recorded,performance,suit,whole_body,multiple,vibration,voice_coil,ad-hoc_composition,music_enrichment,headphones,no,wired,real_world
Feeling Sound: Exploring a Haptic-Audio Relationship,armitage2015feeling,2015,no,recorded,installation,chair,back,single,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wired,real_world
‘Unheard’ Sounds,armitage2015unheard,2015,no,recorded,installation,chair,back,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wired,real_world
An Adaptive Musical Vibrotactile System (MuViT) for Modern Smartphones,yan2022adaptive,2022,no,recorded,personal_use,smartphone,hand,single,vibration,LRAs,direct_translation,music_enrichment,either,no,standalone,real_world
Feeling the effort of classical musicians-a pipeline from electromyography to smartphone vibration for live music performance,verdugo2022feeling,2022,no,live,performance,smartphone,hand,single,vibration,LRAs,NA,performer_understanding,either,no,wireless,real_world
Feeling the music- exploring emotional effects of auditory- tactile musical experiences,schwartz2025feeling,2025,yes,recorded,NA,"glove, vest, band","palm,chest, ankle",multiple,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
FeelMusic: Enriching our emotive experience of music through audio-tactile mappings,haynes2021feelmusic,2021,yes,recorded,personal_use,sleeve,"upper_arm, fore arm",multiple,"displacement, vibration",combination (ERMs and air pump),ad-hoc_composition,music_enrichment,headphones,no,wired,perceptual_study
Haptic Music Feedback through Audio Decomposition,shin2025haptic,2025,yes,recorded,personal_use,"gloves, vest","hand, chest, back",multiple,vibration,combination (ERMs and LRAs),direct_translation,music_enrichment,either,no,wired,real_world
Haptic music: exploring whole-body vibrations and tactile sound for a multisensory music installation,frid2020haptic,2020,no,interactive,installation,floor,vertical_whole_body,single,vibration,contact_speaker,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
Haptic-Listening and the Classical Guitar,mcdowell2018haptic,2018,no,recorded,personal_use,cushion,"Sternum, chest",single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,real_world
Haptification of performer's control gestures in live electronic music performance,turchet2019haptification,2019,yes,live,performance,armband,upper_arm ,single,vibration,ERMs,NA,performer_understanding,loudspeakers,no,wireless,real_world
Harmonious Touch: Haptic Wristband for Home Listening Experience,melder2024harmonious,2024,yes,recorded,personal_use,wristband,wrist,single,vibration,ERMs,direct_translation,music_enrichment,either,no,wired,real_world
Implementation of Tension-Based Compact Necklace-Type Haptic Device Achieving Widespread Transmission of Low-Frequency Vibrations,yamazaki2022implementation,2022,yes,recorded,personal_use,necklace,"chest, neck",multiple,vibration,voice_coil,direct_translation,music_enrichment,loudspeakers,no,standalone,real_world
Mapping Monophonic MIDI Tracks to Vibrotactile Stimuli Using Tactile Illusions,remache2022mapping,2022,no,recorded,personal_use,ad_hoc_form_factor,hands,single,vibration,voice_coil,ad-hoc_composition,music_enrichment,headphones,no,wired,real_world
CollarBeat: Whole Body Vibrotactile Presentation via the Collarbone to Enrich Music Listening Experience,sakuragi2015collarbeat,2015,yes,recorded,personal_use,ad_hoc_form_factor,"whole_body (collarbone, buttocks, head, and palms)",multiple,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,real_world
Composition Techniques for the Ilinx Vibrotactile Garment,hattwick2015composition,2015,yes,recorded,installation,suit,whole_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
Demo of interactions between a performer playing a Smart Mandolin and audience members using Musical Haptic Wearables,turchet2018demo,2018,yes,live,performance,armband,upper_arm ,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
Hapbeat: Single DOF Wide Range Wearable Haptic Display,yamazaki2017hapbeat,2017,yes,recorded,personal_use,belt,trunk,single,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wireless,VR
Livejacket: Wearable music experience device with multiple speakers,hashizume2018livejacket,2018,yes,recorded,personal_use,jacket,upper_body,multiple,vibration,voice_coil,direct_translation,music_enrichment,either,no,wired,real_world
Mood Glove: A haptic wearable prototype system to enhance mood music in film,mazzoni2016moodglove,2016,yes,recorded,personal_use,glove,hand,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wired,cinema
Multimodal Music Composition,armitage2013multimodal,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,theoretical_paper
Musical haptics for the listener: Reflections of a design practitioner,turchet2022musical,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,theoretical_paper
Music Tactalizer: A Wearable Haptic Music Player with Multi-Feature Audio-Tactile Rendering,see2025music,2025,yes,recorded,personal_use,glove,hand,single,displacement,piezo,ad-hoc_composition,music_enrichment,either,no,wireless,real_world
Feeling connected: the role of haptic feedback in VR concerts and the impact of haptic music players on the music listening experience,venkatesan2023feeling,2023,yes,recorded,personal_use,wristband,wrist,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wireless,VR
Multisensory Music Listening in Affective Virtual Environments,turchet2025multisensory,2025,yes,recorded,personal_use,vest,"torso, back",multiple,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,VR
Musinger: Communication of Music over a Distance with Wearable Haptic Display and Touch Sensitive Surface,cabrera2024musinger,2024,yes,live,performance,robotic_interface,forearm,single,displacement,servo_motor,NA,performer_understanding,none,DHH,wireless,real_world
MUVIB: Music and Vibration,la2014muvib,2014,yes,recorded,personal_use,wristband,wrist,single,vibration,ERMs,direct_translation,sensory_substitution,headphones,DHH,wireless,real_world
Navigation Method Enhancing Music Listening Experience by Stimulating Both Neck Sides With Modulated Musical Vibration,yamazaki2023navigation,2023,yes,recorded,personal_use,necklace,"chest, neck",multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wireless,VR
PalmBeat: A Kinesthetic Way to Feel Groove With Music,sun2021palmbeat,2021,yes,live,personal_use,glove,hand,single,displacement,servo_motor,NA,performer_understanding,headphones,no,wired,VR
Evaluation of audio-tactile congruences for a wearable musical interface,aker2024evaluation,2024,yes,recorded,personal_use,vest,back,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Real-Time Dual-Band Haptic Music Player for Mobile Devices,hwang2013real,2013,no,recorded,personal_use,smartphone / handheld mockup,hand,single,vibration,DMA,direct_translation,music_enrichment,headphones,no,wired,real_world
Reducing preferred listening levels in headphones through coherent audiotactile stimulation,liapikou2024reducing,2024,yes,recorded,personal_use,headphones,head,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Perceived auditory dynamic range is enhanced with wrist-based tactile stimulation,aker2024perceived,2024,yes,recorded,personal_use,bracelet,wrist,single,vibration,voice_coil,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Skin Music (2012)- an Audio-Haptic Composition for Ears and Body,hayes2015skin,2015,no,recorded,installation,chair,whole_body,multiple,vibration,combination (voice_coil and ERMs and piezo),ad-hoc_composition,music_enrichment,loudspeakers,no,wired,real_world
Smart Mandolin and Musical Haptic Gilet: effects of vibro-tactile stimuli during live music performance,turchet2019smart,2019,yes,live,performance,vest,upper_body ,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
Tactile composition: configurations and communications for a musical haptic chair,armitage2014tactile,2014,no,live,performance,chair,back,single,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wired,real_world
Tension-Based Wearable Vibroacoustic Device for Music Appreciation,yamazaki2016tension,2016,yes,recorded,personal_use,necklace,"chest, neck",multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,headphones,no,wireless,VR
The Emoti-Chair: An Interactive Tactile Music Exhibit,karam2010emoti,2010,no,recorded,installation,chair,back,multiple,vibration,voice_coil,direct_translation,sensory_substitution,loudspeakers,DHH,wired,real_world
The hedonic haptic player,vallgaarda2017hedonic,2017,yes,recorded,personal_use,ad_hoc_form_factor,upper_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,none,no,standalone,real_world
The hedonic haptics player: a wearable device to experience vibrotactile compositions,boer2017hedonic,2017,yes,recorded,personal_use,ad_hoc_form_factor,upper_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,none,no,standalone,real_world
The Ilinx Garment: Whole-body tactile experience in a multisensorial art installation,lamontagne2015ilinx,2015,yes,live,installation,suit,whole_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
TOuch ThE Music: Displaying Live Music into Vibration,pate2022touch,2022,no,live,performance,ad_hoc_form_factor,hands,multiple,vibration,voice_coil,ad-hoc_composition,sensory_substitution,loudspeakers,DHH,wireless,real_world
"Design and implementation of a whole-body haptic suit for “Ilinx”, a multisensory art installation",giordano2015design,2015,yes,live,installation,suit,whole_body,multiple,vibration,ERMs,ad-hoc_composition,music_enrichment,loudspeakers,no,wireless,real_world
Towards an aesthetics of touch,hayes2017towards,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,theoretical_paper
Vibratory and acoustical factors in multimodal reproduction of concert DVDs,merchel2009vibratory,2009,no,recorded,installation,floor,vertical_whole_body,single,vibration,voice_coil,direct_translation,music_enrichment,loudspeakers,no,wired,real_world
Vibrotactile display of music on the human back,branje2010vibrotactile,2010,yes,recorded,personal_use,ad_hoc_form_factor,back,single,vibration,voice_coil,direct_translation,music_enrichment,none,no,wired,perceptual_study
Vibrotactile enhancement of musical engagement,siedenburg2024vibrotactile,2024,no,recorded,personal_use,chair,whole_body,multiple,vibration,contact_speaker,direct_translation,music_enrichment,headphones,no,wired,perceptual_study
Undetectable very-low frequency sound increases dancing at a live concert,cameron2022undetectable,2022,no,live,performance,NA,whole_body,NA,vibration,subwoofer,NA,NA,loudspeakers,no,NA,perceptual_study
